drugbank_id,smiles
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CC(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CC(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CC(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CC(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00006,c1cc(O)ccc1C[C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]5CCCN5C(=O)[C@H](N)Cc6ccccc6
DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6
DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6
DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@H](Cc5c[nH]c[nH+]5)NC(=O)[C@@H]6CCC(=O)N6
DB00014,NC(=O)NNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC[NH+]=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6
