ID,SMILES,Canonical_SMILES,Docking,LogP,QED,SAS,MW,HBD,HBA,RotatableBonds,TPSA,RingCount,HeavyAtomCount,Toxicity_max,Toxicity_mean,NonToxic_12_Tox21,Fitness,source_file,ToxProb_NR-AR,ToxProb_NR-AR-LBD,ToxProb_NR-AhR,ToxProb_NR-Aromatase,ToxProb_NR-ER,ToxProb_NR-ER-LBD,ToxProb_NR-PPAR-gamma,ToxProb_SR-ARE,ToxProb_SR-ATAD5,ToxProb_SR-HSE,ToxProb_SR-MMP,ToxProb_SR-p53,ValidMol,LogP_calc,LogP_original
168,CC1=CC=C(C=C1C2=CC=C3C4=C(CCNC4=O)C=CC3=C2)C(=O)NC(=O)NC,CNC(=O)NC(=O)c1ccc(C)c(-c2ccc3c4c(ccc3c2)CCNC4=O)c1,-11.5,3.170320000000001,0.6311749962035487,2.4829131391572474,387.4390000000001,3,3,2,87.30000000000001,4,29,0.3627832,0.119969316,True,0.8488317309614859,docking_results_3_29.csv,0.045686316,0.028396329,0.3627832,0.0717222,0.14122792,0.04205301,0.035779823,0.26467866,0.06499217,0.055954743,0.21504395,0.11131375,True,3.170320000000001,3.170320000000001
18,CC1=CC(C2=CC=C3C4=C(CCNC4=O)C=CC3=C2)=CC5=C1C(=O)NC5=O,Cc1cc(-c2ccc3c4c(ccc3c2)CCNC4=O)cc2c1C(=O)NC2=O,-11.3,2.9847200000000003,0.6583902148941787,2.7036376501497106,356.3810000000001,2,3,1,75.27000000000001,5,27,0.49687386,0.18977177,True,0.9089341637525928,docking_results_3_23.csv,0.06252052,0.051590595,0.49687386,0.13497965,0.1831312,0.07125501,0.04386334,0.41228136,0.088001154,0.072132766,0.43207517,0.22855653,True,2.9847200000000003,2.9847200000000003
41,C1CC[C@H1](C(=O)N1)C2=CC=C(C=C2)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,O=C1NCCc2c1ccc1ccc(-c3ccc([C@@H]4CCCNC4=O)cc3)cc21,-11.2,3.7863000000000024,0.7211155325601155,3.0060196212105392,370.4520000000002,2,2,2,58.2,5,28,0.24068788,0.11118271,True,0.5886133556162881,docking_results_3_26.csv,0.07816518,0.046947386,0.18689264,0.09166658,0.1682858,0.054967664,0.038818907,0.24068788,0.047703326,0.05037197,0.21540809,0.11427707,True,3.7863000000000024,3.7863000000000016
178,CNC(=O)NC1CC2=CC(=CC=C2C1)[C@@H1]3O[C@H1](C[C@@H1]3O)C4=CC=C5C=CC=CC5=C4,CNC(=O)NC1Cc2ccc([C@@H]3O[C@@H](c4ccc5ccccc5c4)C[C@@H]3O)cc2C1,-11.1,3.7996000000000025,0.6241149551801515,3.7091831634103443,402.4940000000001,3,3,3,70.59,5,30,0.13792619,0.06337846,True,0.5813423021381777,docking_results_3_14.csv,0.051230773,0.01951819,0.09715518,0.062323,0.13792619,0.031082947,0.023412427,0.11707545,0.020239064,0.03239793,0.1264443,0.041736044,True,3.7996000000000025,3.7996000000000025
245,CC1=CC=C(C2=C1C=C3C=CC4=C(CCNC4=O)C3=C2)C(=O)NCC5NCCN(C)CC5,Cc1ccc(C(=O)NCC2CCN(C)CCN2)c2cc3c4c(ccc3cc12)C(=O)NCC4,-11.1,2.6108200000000004,0.5587822511558843,3.3099601310410476,430.55200000000025,3,4,3,73.47,5,32,0.16190799,0.060194593,True,0.9765476067546104,docking_results_3_21.csv,0.034026124,0.015445016,0.15951931,0.046575498,0.075424574,0.016864106,0.01612311,0.16190799,0.026523216,0.025968041,0.07709091,0.066867225,True,2.6108200000000004,2.6108200000000004
151,CC1=CC=C(C=C1C2=CC=C3C4=C(CCNC4=O)C=CC3=C2)C(=O)N5CCNCC5,Cc1ccc(C(=O)N2CCNCC2)cc1-c1ccc2c3c(ccc2c1)CCNC3=O,-11.1,3.1465200000000006,0.6959971461798429,2.521173767486202,399.4940000000002,2,3,2,61.440000000000005,5,30,0.18048203,0.07115867,True,0.8487038266091305,docking_results_3_20.csv,0.04491201,0.02279963,0.17092903,0.05442751,0.08899622,0.02324101,0.02448475,0.18048203,0.03357124,0.03347275,0.09809504,0.07849273,True,3.1465200000000006,3.1465200000000006
122,CC1=NC=C(C2=C1C=C3C=CC4=C(CCNC4=O)C3=C2)C(=O)N5CCNCC5,Cc1ncc(C(=O)N2CCNCC2)c2cc3c4c(ccc3cc12)C(=O)NCC4,-11.1,2.0277199999999995,0.639420451952651,2.796525493380612,374.44400000000013,2,4,1,74.33,5,28,0.20760457,0.07369995,True,0.9069022394510992,docking_results_3_24.csv,0.04538085,0.025480406,0.20760457,0.050947424,0.07010488,0.019246934,0.022606635,0.19940938,0.03990196,0.030441253,0.06952047,0.10375462,True,2.0277199999999995,2.0277199999999995
227,CC(=O)N1CCCC1C2=CC=C(C=N2)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,CC(=O)N1CCCC1c1ccc(-c2ccc3ccc4c(c3c2)CCNC4=O)cn1,-11.1,3.871100000000003,0.7283765782022518,3.0769635968361886,385.4670000000002,1,3,2,62.300000000000004,5,29,0.24695195,0.09376636,True,0.5539234702636795,docking_results_3_15.csv,0.055672638,0.030128928,0.24695195,0.07674137,0.11589807,0.03382167,0.032684576,0.20456558,0.048816834,0.046032306,0.13825698,0.09562541,True,3.871100000000003,3.871100000000003
53,O=C(N[C@H1]1CCCC2=CC=CC=C21)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,O=C(N[C@H]1CCCc2ccccc21)c1ccc2ccc3c(c2c1)CCNC3=O,-11.1,3.9331000000000023,0.7179909623599006,2.794479095882208,370.4520000000002,2,2,2,58.2,5,28,0.2623197,0.10908262,True,0.5311367966506582,docking_results_3_23.csv,0.051146302,0.028554367,0.22750051,0.09437102,0.15624423,0.047454044,0.03335433,0.22641978,0.039540417,0.05124166,0.2623197,0.09084517,True,3.9331000000000023,3.933100000000002
182,O1[C@@H1](C2=CC=CC=C2C(=O)NC=C1)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,O=C1NC=CO[C@H](c2ccc3ccc4c(c3c2)CCNC4=O)c2ccccc21,-11.0,3.4463000000000017,0.6894910281048081,3.4602156812480622,370.4080000000002,2,3,1,67.43,5,28,0.20451523,0.08722755,True,0.7248856176295402,docking_results_3_22.csv,0.050771717,0.027121242,0.20451523,0.06118215,0.121437795,0.033266976,0.029916828,0.19693467,0.035451494,0.0394844,0.1688597,0.077788524,True,3.4463000000000017,3.4463000000000017
224,NC(=O)COC1=CC=C(C=N1)C2=CC=C(F)C(=C23)C=CC4=CC=CC=C4C3C(=O)N5CCCN5,NC(=O)COc1ccc(-c2ccc(F)c3c2C(C(=O)N2CCCN2)c2ccccc2C=C3)cn1,-11.0,3.104400000000001,0.6124573539826849,3.6692935824946513,458.4930000000002,2,5,5,97.55,5,34,0.2082699,0.08201394,True,0.86021897074037,docking_results_3_8.csv,0.04810721,0.02700919,0.2082699,0.05755968,0.09936883,0.028074482,0.031412076,0.19966814,0.04341916,0.042800467,0.11019302,0.0882852,True,3.104400000000001,3.104400000000001
94,CC(=O)N1CCCC(C1)C2=CC=C(C=N2)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,CC(=O)N1CCCC(c2ccc(-c3ccc4ccc5c(c4c3)CCNC5=O)cn2)C1,-11.0,3.9136000000000024,0.7106074039494924,3.0765956712968077,399.4940000000002,1,3,2,62.300000000000004,5,30,0.21295553,0.091057725,True,0.5359180780377609,docking_results_3_18.csv,0.057183493,0.03142973,0.21295553,0.07390048,0.122316435,0.035499267,0.032798044,0.20555429,0.04895352,0.045720343,0.13214563,0.094235845,True,3.9136000000000024,3.9136000000000015
3,O=C(C1CC12CNC2)C3=CC=C(C=C3)C4=CC=C5C=CC6=C(CCNC6=O)C5=C4,O=C1NCCc2c1ccc1ccc(-c3ccc(C(=O)C4CC45CNC5)cc3)cc21,-11.0,3.584900000000002,0.6809482967170817,3.659405678744559,382.46300000000025,2,3,3,58.2,6,29,0.36108938,0.15584914,True,0.6663458075980554,docking_results_3_29.csv,0.07768862,0.0623813,0.22824857,0.14399773,0.18603261,0.078666724,0.05375676,0.36108938,0.0776634,0.07927646,0.3180671,0.20332108,True,3.584900000000002,3.584900000000002
137,O[C@@H1](C1=CC=C2C=CC=CC2=C1)C=C3C=C4C=CC5=C(CCNC5=O)C4=C=C3,O=C1NCCc2c1ccc1c2=C=CC(=C[C@@H](O)c2ccc3ccccc3c2)C=1,-11.0,2.5153999999999996,0.7332150983032366,3.9566661502912153,365.4320000000002,2,2,2,49.33,5,28,0.49907,0.1938831,True,0.9765985570709202,docking_results_3_24.csv,0.063141,0.06665306,0.263946,0.16616303,0.20755555,0.11450259,0.06525394,0.45757484,0.07510441,0.13136134,0.49907,0.21627134,True,2.5153999999999996,2.5154
69,C[C@H1]1CCC[C@H1](C1)C2=CC=C(C=C2)C3=CC=CC=CC4=C(CCNC4=O)C(=O)N3N,C[C@H]1CCC[C@@H](c2ccc(-c3cccccc4c(c(=O)n3N)CCNC4=O)cc2)C1,-10.9,3.9331000000000023,0.7460213974870226,3.808039628081554,403.52600000000024,2,3,2,77.12,4,30,0.13026673,0.059623614,True,0.5261612152013256,docking_results_3_19.csv,0.033487905,0.012655013,0.118999444,0.05495897,0.12149762,0.024716435,0.01788228,0.11848026,0.018538533,0.028616004,0.13026673,0.035384167,True,3.9331000000000023,3.933100000000002
112,C1COC(C(=O)N1)C2=CC=C(C=C2)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,O=C1NCCc2c1ccc1ccc(-c3ccc(C4OCCNC4=O)cc3)cc21,-10.9,2.980200000000001,0.726760653699036,3.133299546163636,372.4240000000002,2,3,2,67.43,5,28,0.23250118,0.0998951,True,0.8960694549588113,docking_results_3_26.csv,0.065785885,0.03634228,0.23250118,0.07581171,0.13786544,0.03925912,0.03529244,0.21753208,0.050511986,0.044330385,0.15827271,0.10523594,True,2.980200000000001,2.980200000000001
227,O=C(O[C@@H1]1CCCNC1)C2=CC=C(C=C2)C3=CC=C4C=CC5=C(CCNC5=O)C4=C3,O=C(O[C@@H]1CCCNC1)c1ccc(-c2ccc3ccc4c(c3c2)CCNC4=O)cc1,-10.9,3.701500000000003,0.6581341359476489,2.9543613693918154,400.47800000000024,2,4,3,67.43,5,30,0.24114348,0.11192169,True,0.6148286773181654,docking_results_3_23.csv,0.07139595,0.04374822,0.22662866,0.08801769,0.16132154,0.050822522,0.04013342,0.24114348,0.060209673,0.05127832,0.18763521,0.1207256,True,3.701500000000003,3.701500000000003
