ID,SMILES,Canonical_SMILES,Docking,LogP,QED,SAS,MW,HBD,HBA,RotatableBonds,TPSA,RingCount,HeavyAtomCount,Toxicity_max,Toxicity_mean,NonToxic_12_Tox21,Fitness,source_file,ToxProb_NR-AR,ToxProb_NR-AR-LBD,ToxProb_NR-AhR,ToxProb_NR-Aromatase,ToxProb_NR-ER,ToxProb_NR-ER-LBD,ToxProb_NR-PPAR-gamma,ToxProb_SR-ARE,ToxProb_SR-ATAD5,ToxProb_SR-HSE,ToxProb_SR-MMP,ToxProb_SR-p53,input_idx,LogP_original,ValidMol,LogP_calc
229,CC1=NN(C=C1C2=CC=C3C=CC=CC3=C2)C(=O)C4=CC=C(N=C4)C#N,Cc1nn(C(=O)c2ccc(C#N)nc2)cc1-c1ccc2ccccc2c1,-10.771,3.9669000000000025,0.5543366459452415,2.508482412540584,338.37000000000006,0,4,2,71.57,4,26,0.4841693,0.13350973,True,0.5265954211110447,reward_results_12.csv,0.049846794,0.02919131,0.4841693,0.095710546,0.17660114,0.04652859,0.03778313,0.23169924,0.08604698,0.053987782,0.20422436,0.10632763,228,3.9669000000000025,True,3.9669000000000025
190,CC(=O)NC1=CC=CC(=C1)C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,CC(=O)Nc1cccc(-c2ccc(C(=O)NCc3ccc(C(N)=O)nc3)nc2)c1,-10.53,2.1308999999999996,0.5950961129337902,2.1923313380315452,389.4150000000002,3,5,6,127.07,3,29,0.26209447,0.06567038,True,0.9451605972532138,reward_results_29.csv,0.04104419,0.01807088,0.26209447,0.025569586,0.111410685,0.021529244,0.019441197,0.1262498,0.03790857,0.026027726,0.05963569,0.03906242,189,2.1309,True,2.1308999999999996
20,NC(=O)CNC(=O)C1=CC=CC(=C1)C2=CC=C3C(=C2)C4=CC=CC=C4C3=O,NC(=O)CNC(=O)c1cccc(-c2ccc3c(c2)-c2ccccc2C3=O)c1,-10.481,2.780100000000001,0.589139388967407,2.0060935942056535,356.3810000000001,2,3,4,89.25999999999999,4,27,0.42154562,0.1612107,True,0.9637445563254796,reward_results_25.csv,0.07923895,0.060518656,0.42154562,0.07799489,0.2554393,0.08166102,0.050544288,0.32400957,0.11444445,0.06543629,0.25139943,0.1522959,19,2.780100000000001,True,2.780100000000001
138,CC(C)OC1=CC=CC(=C1)C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,CC(C)Oc1cccc(-c2ccc(C(=O)NCc3ccc(C(N)=O)nc3)nc2)c1,-10.452,2.9596999999999998,0.644886459679312,2.2492812442229138,390.44300000000015,2,5,7,107.19999999999999,3,29,0.20154463,0.054727048,True,0.9195020126067076,reward_results_28.csv,0.03242826,0.011831598,0.20154463,0.027559482,0.11233239,0.018946053,0.014848986,0.099177204,0.024348529,0.022106938,0.06576592,0.025834577,137,2.9597,True,2.9596999999999998
243,C#CC1=CC=CC(=C1)C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,C#Cc1cccc(-c2ccc(C(=O)NCc3ccc(C(N)=O)nc3)nc2)c1,-10.436,2.1538,0.6845389839588176,2.371572715084776,356.3850000000001,2,4,5,97.97,3,27,0.24010338,0.07988138,True,0.9489937113113048,reward_results_28.csv,0.053573944,0.029507695,0.24010338,0.03778763,0.13707049,0.034217764,0.029531097,0.16308835,0.05066511,0.037579022,0.08814927,0.057302784,242,2.1538,True,2.1538
132,O=C(CC1=CC=C(C=C1)C2=CC=C3[NH1]N=CC3=C2)NC(=O)C4=CC=CC(=N4)C#N,N#Cc1cccc(C(=O)NC(=O)Cc2ccc(-c3ccc4[nH]ncc4c3)cc2)n1,-10.43,2.995680000000001,0.5643697414697526,2.4818720643783685,381.39500000000015,2,5,4,111.53,4,29,0.4704149,0.1572811,True,0.9082644045322442,reward_results_24.csv,0.058422133,0.044088967,0.4704149,0.105987675,0.18792449,0.06558769,0.056542486,0.30586904,0.11989163,0.081901245,0.2396054,0.15113746,131,2.995680000000001,True,2.995680000000001
205,CC1=C(Cl)C=CC=C1C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,Cc1c(Cl)cccc1-c1ccc(C(=O)NCc2ccc(C(N)=O)nc2)nc1,-10.422,3.1343200000000007,0.7099569123831223,2.2488180671011797,380.83500000000015,2,4,5,97.97,3,27,0.18387179,0.048299026,True,0.8610062630948835,reward_results_23.csv,0.030737504,0.0114497235,0.18387179,0.024743648,0.082827725,0.014539064,0.014578899,0.096754685,0.02089773,0.020416068,0.052293163,0.026478283,204,3.1343200000000007,True,3.1343200000000007
223,CC=C1C(NC(=O)C2=CC=C(C=C2F)C3=CC=CC(=C3)C(=O)NCC#N)=N[NH1]1,CC=C1NN=C1NC(=O)c1ccc(-c2cccc(C(=O)NCC#N)c2)cc1F,-10.417,2.2963799999999996,0.710907627249431,2.7808373401835986,377.3790000000001,3,5,4,106.38000000000001,3,28,0.43155587,0.14559513,True,0.975247813036192,reward_results_28.csv,0.029011339,0.022469185,0.43155587,0.08277191,0.12022817,0.042210955,0.040077902,0.35059276,0.073234275,0.074299194,0.3277587,0.1529313,222,2.29638,True,2.2963799999999996
188,CC1=CC=C(F)C(=C1)C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,Cc1ccc(F)c(-c2ccc(C(=O)NCc3ccc(C(N)=O)nc3)nc2)c1,-10.411,2.6200199999999993,0.7270177565528627,2.2200636136598835,364.3800000000001,2,4,5,97.97,3,27,0.15502903,0.040044643,True,0.9845572418556888,reward_results_21.csv,0.028704826,0.0095019005,0.15502903,0.020309443,0.073613025,0.011552746,0.011954315,0.078247815,0.01626644,0.016342243,0.038827956,0.020185983,187,2.62002,True,2.6200199999999993
89,O=C(N[C@@H1]1CC2=CC=CC=C2C1)C3=CC=CC(=C3)C4=CN=C5[NH1]C(=O)NC5=C4,O=C(NC1Cc2ccccc2C1)c1cccc(-c2cnc3[nH]c(=O)[nH]c3c2)c1,-10.398,2.8153999999999995,0.5178899133689906,2.431080715394369,370.41200000000003,3,3,3,90.63999999999999,5,28,0.36630592,0.11417088,True,0.9550698964524011,reward_results_15.csv,0.046070904,0.025484197,0.36630592,0.08604003,0.153055,0.040896453,0.0350305,0.21710305,0.06161495,0.051885176,0.19559845,0.09096585,88,2.8153999999999995,True,2.8153999999999995
140,CC1=CC=C(C=C1F)C2=CC=C(N=C2)C(=O)NCC3=CC=C(N=C3)C(N)=O,Cc1ccc(-c2ccc(C(=O)NCc3ccc(C(N)=O)nc3)nc2)cc1F,-10.392,2.6200199999999993,0.7270177565528627,2.194610374793486,364.3800000000001,2,4,5,97.97,3,27,0.16702554,0.04335955,True,0.9841614737171684,reward_results_29.csv,0.029745331,0.010255671,0.16702554,0.021767192,0.07889755,0.012824993,0.012900371,0.08495197,0.018323252,0.017625438,0.0436222,0.022375124,139,2.62002,True,2.6200199999999993
156,O=C(N[C@H1]1CCC2=CC=CC=C21)C3=CC=CC(=C3)C4=CN=C5[NH1]C(=O)NC5=C4,O=C(N[C@H]1CCc2ccccc21)c1cccc(-c2cnc3[nH]c(=O)[nH]c3c2)c1,-10.376,3.3355000000000006,0.5165503554568711,2.818500484249938,370.4120000000001,3,3,3,90.63999999999999,5,28,0.41301695,0.13936834,True,0.7807760139102033,reward_results_13.csv,0.05308006,0.032442063,0.41301695,0.11294432,0.18277776,0.0540042,0.041635726,0.25921145,0.07744881,0.061132576,0.26368153,0.12104456,155,3.335500000000001,True,3.3355000000000006
