SMILES,dataset
COCC1CN(C1)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,crossdocked
CC(C)(C)OC(=O)CN1Cc2ccc(cc2C1=O)-c1nc(NC2CCOCC2)ncc1Cl,crossdocked
C=CCN1C(=O)/C(=C2\SC(=S)N(Cc3ccco3)C2=O)c2cc(Br)ccc21,zink
CCN(CC)C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)[C@@H]5O[C@@H]5[C@]4(C)[C@H]3CC[C@]12C,chembl
CC1=C(C(=O)Nc2ccccc2)[C@@H](c2cc(CSc3nnnn3C)cs2)C2=C(CCCC2=O)N1,zink
COc1ccc(NC2CCCN(C(=O)c3ccc(C)c(N4CCNC4=O)c3)C2)cc1,chembl
CC(=O)N1CCN(CC1)c1ccc2ncn(CC(=O)NCc3ccc(C#N)c(F)c3)c(=O)c2c1,crossdocked
CC(C)(C)c1ccc2oc(N3CCCN(C(=O)CC4CCCC4)CC3)nc2c1,chembl
CCOC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OCC)[C@@H](c3ccccc3)C2)[C@@H]1c1ccccc1OC,zink
COC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccc(N(C)C)cc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1,zink
COc1ncc(cc1C1(F)COC1)-c1cc(NC(=O)c2cc(ccn2)C(F)(F)F)cnc1C,crossdocked
C=CCc1cc(/C=C2\C(=N)N3N=C(COc4cccc(C)c4)SC3=NC2=O)cc(OC)c1O,zink
C=CCN1C(=O)[C@@]2(c3ccccc31)c1c(oc3ccccc3c1=O)C(=O)N2Cc1ccc(OC)cc1,zink
COc1ccccc1N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1F,crossdocked
O=C(C1=C(O)C(=O)N(CCCn2ccnc2)[C@H]1c1ccccc1[N+](=O)[O-])c1ccc(Cl)cc1,zink
O=C(N1CCC(CC1)c1ncc[nH]1)c1ccc(cc1)-c1ccccc1,crossdocked
COc1ccc(-c2ccc(C(N)=O)nc2)cc1OCCc1ccccc1,chembl
O=C(c1cnccn1)N1CC[C@H](c2nc(C3CC3)no2)C1,chembl
O=C(CSc1nnc(-c2ccco2)[nH]1)NCCc1ccc2c(c1)OCO2,chembl
CCOC(=O)c1sc(N2C(=O)C(O)=C(C(=O)c3ccco3)[C@H]2c2ccc(OC)cc2)nc1C,zink
FC(F)(F)Oc1cccc(-n2nnc3ccc(NCC4CCN(CC5CC5)CC4)nc32)c1,chembl
C[N+]1(CCc2ccccc2)CCC(C1)N1CC(NC1=O)(c1ccccc1)c1ccccc1,crossdocked
CCNC(C)CN1CCc2c(c(=O)oc3ccccc23)C1,chembl
Cc1cc(C)n(NC(=O)c2cccc(COc3ccc(Br)cc3)c2)c(=O)c1C#N,zink
O=C1C=CC(=O)N1c1ccc(Cl)cc1,chembl
O=C(NCCN1CCCC1)c1ccc2c(c1)N(Cc1ccccc1)C(=O)c1ccccc1S2(=O)=O,chembl
COc1cccc(c1)[C@@H](C)NC(=O)c1ccc(-c2cn[nH]c2)c(OC)c1F,crossdocked
CC(C)(O)C(Br)COc1c2c(cc3oc(=O)ccc13)OCO2,chembl
O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,chembl
CCC[C@@H](NC(=O)c1nccs1)c1cnc(Nc2cnc(C)s2)c(Cl)c1,crossdocked
O=C1[C@@H]2[C@H]3C=C[C@@H](CC3)[C@H]2C(=O)N1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,zink
CCN(CC)C(=O)c1sc(NC(=O)c2ccccc2I)c(C#N)c1C,zink
COC(=O)C(NCc1nnnn1C1CC1)C(C)(C)C,chembl
O=S(=O)(NCCCCN1CCc2ccccc2C1)c1cnc2ccccc2c1,chembl
c1ccc(CCc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,chembl
C=CCn1nc(C(=O)N2CCCCCC2)c2c1CC[C@H](NC1CCN(Cc3ccccc3)CC1)C2,zink
COc1ccc(CC2c3c(C)cccc3CCN2C)cc1OC.Cl,chembl
C=C(Cl)CSc1nnc([C@@H](Cc2ccccc2)NC(=O)c2c(OC)cccc2OC)n1C,zink
N#Cc1ccc(S(=O)(=O)NC(=O)c2ccc(Oc3ccc(F)cc3)s2)cc1Br,zink
COc1cc(OC)c(Nc2nc3ccccc3c3nncn23)cc1Cl,chembl
OC(=O)c1ccccc1NC(=O)CCc1noc-2c1CCc1cc(O)ccc-21,crossdocked
C=CCOc1c(OC)cccc1[C@@H]1CC(=O)Nc2c1c(C)nn2-c1ccc(N2CCCCC2)nn1,zink
CCOc1n[nH]c2cc(NC(=O)N[C@H](COC)c3ccccn3)ncc12,crossdocked
CCOC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OCC)[C@@H](c3ccccc3)C2)[C@H]1c1ccccc1,zink
Fc1cccc(NS(=O)(=O)c2cc(Cl)c(N[C@H]3CCCC[C@@H]3N3CCCC3)cc2F)n1,crossdocked
C\C(CNCCC(O)=O)=C/c1ccc(OCCCCc2ccccc2)cc1,crossdocked
CCCOc1ccc([C@@H]2C(C(=O)O[C@H](C)CC)=C(C)NC3=C2C(=O)[C@H](C(=O)OC)[C@@H](C)C3)cc1,zink
NC(=O)c1nn(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)Nc2ccn(n2)C(F)(F)F)c2ccccc12,crossdocked
O=C(CSCc1ccc(Cl)cc1)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,chembl
O=C(Nc1nnc(CCN2CCOCC2)s1)c1ccccc1,chembl
C[C@@H](Cc1ccc2ccccc2c1)NC[C@H](O)c1cc(O)cc(O)c1,crossdocked
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1c1ccc(C)c(F)c1)N2,chembl
COCCOC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccc(OC)cc3)C2)[C@@H]1c1cccc(OC)c1,zink
O=C(O)C(O)COc1nsnc1N1CCOCC1,chembl
CN(C)C1(CNCCC2CCCCCC2)COc2ccccc2OC1,crossdocked
NC(=O)Nc1nc2cc(-c3cncc(F)c3)cc(-c3ncccn3)c2[nH]1,chembl
Cc1cc(=O)oc2cc(OCCN(C(C)C)C(C)C)ccc12,chembl
COC(=O)c1ccc(CNC(=O)CCNC(=O)c2ccco2)cc1,chembl
COC(=O)C1=C(C)NC2=C(C(=O)C[C@@H](c3cccs3)C2)[C@@H]1c1cc(OC)c(OC)c(OC)c1,zink
CC(=O)Oc1cccc(C23CCC(C2)N(CCc2ccccc2)CC3)c1,chembl
Cc1nc(N)ccc1-c1ccc(c(c1-c1nn[nH]n1)S(N)(=O)=O)C(F)(F)F,crossdocked
CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(C)c3)ncn2)c1,crossdocked
Cc1ccc(NC(=O)c2cnn(-c3ccccc3)c2C)c(C)c1,chembl
Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,crossdocked
COc1ccc(CC(O)=O)cc1-c1ccc(F)c2CN(Cc12)C(=O)C1CC1c1ccccc1,crossdocked
CN1C2COCC1CC(C2)NC(=O)c1nn(-c2cncs2)c2ccccc12,crossdocked
Cc1ccc(nc1)[C@H]1C[C@@H]1COc1nc(C)ncc1-c1cn(C)c(=O)cn1,crossdocked
Cc1cc(NC(=O)COC(=O)C(Cc2ccccc2)NC(=O)c2ccco2)no1,chembl
C[C@H](NCc1ccc(OCc2ccccc2F)cc1)C(N)=O,chembl
Cc1cc(NC(=O)[C@H](OC(=O)[C@H](/N=C(/O)c2ccccc2)c2ccccc2)c2ccccc2)no1,zink
Cc1cc2n(cc(-c3cncc(N)c3Cl)c2cc1C#N)[C@H]1CC[C@@H](C1)NS(C)(=O)=O,crossdocked
C[C@@H](NC(=O)c1cc(O[C@H]2CCOC2)cc(c1)-c1ncc(C)s1)c1cnc(Cl)cn1,crossdocked
CCOC(=O)c1nnn([C@@H]2O[C@H](CO)[C@H]3OC(C)(C)O[C@H]32)c1I,chembl
C=CCn1c(SCC(=O)Nc2ccccc2)nnc1[C@H](C)NC(=O)c1cccc(Cl)c1,zink
COC(=O)[C@@H]1C(=O)C2=C(C[C@H]1C)NC(C)=C(C(=O)OC1CCCCC1)[C@H]2c1ccccc1C,zink
CN(C)C1CC(Nc2ccc(cc12)[N+]([O-])=O)C(C)(C)CO,crossdocked
Cc1ccccc1CS(=O)(=O)N1CCC(C(=O)N2CCN(c3cccc(C)c3C)CC2)CC1,chembl
C=CC/N=c1\scc(-c2ccc3c(c2)OCCO3)n1NC(=O)c1cccc(Br)c1,zink
COc1ccc(N2CC[C@@]34C=C[C@H](O)C[C@@H]3Oc3c(OC)ccc(c34)C2)cc1,chembl
CCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC,crossdocked
COC(=O)c1ccccc1SSc1nc[nH]n1,chembl
CSCc1nc(CSC)nc(CSC)n1,crossdocked
Cc1noc(n1)-c1cc2cc(C)ccc2nc1N1CCC(CC1)NC1CC2CCC1C2,crossdocked
