ID,SMILES,Canonical_SMILES,Docking,LogP,QED,SAS,MW,HBD,HBA,RotatableBonds,TPSA,RingCount,HeavyAtomCount,Toxicity_max,Toxicity_mean,NonToxic_12_Tox21,Fitness,source_file,ToxProb_NR-AR,ToxProb_NR-AR-LBD,ToxProb_NR-AhR,ToxProb_NR-Aromatase,ToxProb_NR-ER,ToxProb_NR-ER-LBD,ToxProb_NR-PPAR-gamma,ToxProb_SR-ARE,ToxProb_SR-ATAD5,ToxProb_SR-HSE,ToxProb_SR-MMP,ToxProb_SR-p53,ValidMol,LogP_calc,LogP_original
89,CC1NC(SCC(=O)N2CCN(CC2)C3=NC=C4C=CC=CC4=N3)=NC5=CC=CC(F)=C5C1=O,CC1NC(SCC(=O)N2CCN(c3ncc4ccccc4n3)CC2)=Nc2cccc(F)c2C1=O,-12.3,3.0128000000000013,0.6188744621718363,3.3768797677379796,478.55300000000017,1,8,3,90.78999999999999,5,34,0.24223708,0.08998326,True,0.9103861928209992,docking_results_2_1.csv,0.040363684,0.02696818,0.22792381,0.06842996,0.082093604,0.027131982,0.037194118,0.24223708,0.06221036,0.055463642,0.08958031,0.12020248,True,3.0128000000000013,3.0128000000000013
194,C[C@H1]1CN(C(=O)C2=CC=C(F)C=C2F)CCN1C(=O)[C@H1](C)N3C=CC4=CC=CC=C4C3=O,C[C@H]1CN(C(=O)c2ccc(F)cc2F)CCN1C(=O)[C@H](C)n1ccc2ccccc2c1=O,-12.2,3.2138000000000018,0.6297415058326831,3.1554872826387186,439.4620000000001,0,3,3,62.620000000000005,4,32,0.10134999,0.041195977,True,0.8375519916641486,docking_results_2_15.csv,0.039689012,0.016245805,0.054608446,0.035743885,0.08348986,0.017973127,0.019036436,0.10134999,0.015581789,0.02404225,0.0537771,0.032814015,True,3.2138000000000018,3.2138000000000018
226,C[C@](C(=O)N1C2CC3=CC=CC=C3C1)C(=O)NCCC[C@H1]2C(=O)C4=CC=CC=C4,C[C]1C(=O)NCCC[C@@H](C(=O)c2ccccc2)C2Cc3ccccc3CN2C1=O,-12.1,2.9433900000000017,0.8033929454383868,3.814038571264658,389.47500000000014,1,3,2,66.48,4,29,0.07792839,0.024811335,True,0.9306720093050131,docking_results_2_14.csv,0.039837856,0.012975795,0.017932361,0.014133924,0.07792839,0.011427163,0.011055507,0.05923054,0.007094275,0.012526362,0.019643797,0.013950081,True,2.9433900000000017,2.9433900000000017
119,C=1COC(=O)C=1C2=CC=CC=C2C(=O)N3CCC(C4C3)NC5=CC=CC=C5C4=O,O=C1OCC=C1c1ccccc1C(=O)N1CCC2Nc3ccccc3C(=O)C2C1,-12.1,2.7659000000000002,0.8010045472235959,3.5321553401440555,388.4230000000001,1,5,2,75.71000000000001,5,29,0.22301292,0.086678185,True,0.9726232986119784,docking_results_2_28.csv,0.04375551,0.02684691,0.15632206,0.06358698,0.1072651,0.034719642,0.038139693,0.22301292,0.04421765,0.05238426,0.15619671,0.09369087,True,2.7659000000000002,2.7659
241,CC=1ON=C(C2=CC=CC=C2)C=1C(=O)N3CCC(C4C3)NC5=CC=CC=C5C4=O,Cc1onc(-c2ccccc2)c1C(=O)N1CCC2Nc3ccccc3C(=O)C2C1,-12.1,3.7891200000000023,0.7240838136868231,3.212661933550648,387.4390000000001,1,5,2,75.44,5,29,0.22936895,0.082644396,True,0.5953220522470613,docking_results_2_27.csv,0.03693601,0.018140528,0.22936895,0.07132361,0.10716237,0.027327603,0.02927831,0.1789144,0.041274637,0.043503758,0.13584933,0.072653234,True,3.7891200000000023,3.789120000000002
238,CC=C1C=C(CN2CCC3(CC2)NC4=CC=CC=C4NC3=O)C5=CC(=O)[NH1]C5=C1,CC=c1cc(CN2CCC3(CC2)Nc2ccccc2NC3=O)c2c(c1)NC(=O)C=2,-12.1,1.6183999999999998,0.7310747826923178,3.908777882550474,388.4710000000001,3,4,2,73.47,5,29,0.414355,0.17568356,True,0.7679726479049231,docking_results_2_25.csv,0.039374735,0.031068234,0.414355,0.15996724,0.13588412,0.056061536,0.05328577,0.40397558,0.106259845,0.094989926,0.37749323,0.23548746,True,1.6183999999999998,1.6183999999999998
136,CC1=CC2=CC=NC=C2C(=N1)S(=O)(=O)N3CCC(C4C3)NC5=CC=CC=C5C4=O,Cc1cc2ccncc2c(S(=O)(=O)N2CCC3Nc4ccccc4C(=O)C3C2)n1,-11.9,2.625820000000001,0.7008211734897308,3.6563961120227777,408.4830000000001,1,6,2,92.25999999999999,5,29,0.12296299,0.05112159,True,0.9904684297029748,docking_results_2_28.csv,0.034515347,0.014598291,0.11266935,0.04976286,0.08028167,0.01674947,0.018251128,0.12296299,0.021345451,0.025076495,0.0696189,0.047627155,True,2.625820000000001,2.625820000000001
146,O=C1C2CCC=C1C3=CC=CC=C3N2C(=O)NCCN4CCC5=CC=CC=C5C4=O,O=C1C2=CCCC1N(C(=O)NCCN1CCc3ccccc3C1=O)c1ccccc12,-11.9,3.029600000000002,0.8595732960964741,3.9330335889723083,401.4660000000002,1,3,3,69.72,5,30,0.23385373,0.08301253,True,0.9029810461216974,docking_results_2_29.csv,0.04265568,0.027281638,0.13436449,0.06370428,0.08980245,0.032003578,0.038715664,0.23385373,0.041398473,0.055432487,0.13702694,0.09991094,True,3.029600000000002,3.029600000000002
167,CC1(C)CC2=CC=CC=C2CN1C(=O)CN3CCC(C4C3)NC5=CC=CC=C5C4=O,CC1(C)Cc2ccccc2CN1C(=O)CN1CCC2Nc3ccccc3C(=O)C2C1,-11.8,3.3488000000000016,0.8356179815989384,3.561488256625524,403.52600000000007,1,4,2,52.650000000000006,5,30,0.08848993,0.033048693,True,0.7801869437858885,docking_results_2_29.csv,0.025328692,0.009036849,0.043503948,0.030047128,0.07662304,0.013349406,0.012435533,0.08848993,0.01155669,0.020575963,0.042742427,0.02289472,True,3.3488000000000016,3.3488000000000016
251,CC1(C)CC2=CC=CC=C2N1C(=O)CNC(=O)N3CC4=CC=CC=C4NC3=O,CC1(C)Cc2ccccc2N1C(=O)CNC(=O)N1Cc2ccccc2NC1=O,-11.8,3.111600000000001,0.8424425067842423,2.7798751201251743,378.4320000000001,2,3,2,81.75,4,28,0.12696256,0.045296166,True,0.8739543138399747,docking_results_2_18.csv,0.03061841,0.013986373,0.07646885,0.030237949,0.08393259,0.018112916,0.019255688,0.12696256,0.021496072,0.02742937,0.05794604,0.037107144,True,3.111600000000001,3.111600000000001
