ID,SMILES,Canonical_SMILES,Docking,LogP,QED,SAS,MW,HBD,HBA,RotatableBonds,TPSA,RingCount,HeavyAtomCount,Toxicity_max,Toxicity_mean,NonToxic_12_Tox21,Fitness,source_file,ToxProb_NR-AR,ToxProb_NR-AR-LBD,ToxProb_NR-AhR,ToxProb_NR-Aromatase,ToxProb_NR-ER,ToxProb_NR-ER-LBD,ToxProb_NR-PPAR-gamma,ToxProb_SR-ARE,ToxProb_SR-ATAD5,ToxProb_SR-HSE,ToxProb_SR-MMP,ToxProb_SR-p53,ValidMol,LogP_calc,LogP_original
193,CC1=CC(C)=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,Cc1cc(C)cc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.9,3.312640000000001,0.7185736780343945,3.1622985378652313,331.4190000000001,2.0,2.0,1.0,48.13,5.0,25.0,0.36408454,0.12885332,True,0.7959983824834089,docking_results_27.csv,0.03784137,0.022663701,0.36408454,0.1278258,0.10971774,0.035251386,0.037424073,0.28397635,0.060344364,0.06321593,0.25719744,0.14669724,True,3.312640000000001,3.312640000000001
91,C[C@@H1]1[C@@H1](Cl)CC(=O)N1C(=O)C2=CC=CC(=C2)C3=CN=C4[NH1]C=CC4=C3,C[C@@H]1[C@@H](Cl)CC(=O)N1C(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,-11.8,3.598300000000002,0.565155384159431,3.4949255195262943,353.809,1.0,3.0,2.0,66.06,4.0,25.0,0.4203737,0.17252016,True,0.6732586666348946,docking_results_23.csv,0.060961466,0.044972062,0.4203737,0.15710653,0.19930154,0.073096424,0.060626958,0.3267742,0.11328978,0.08612019,0.3391489,0.18846998,True,3.598300000000002,3.598300000000002
73,CC(C)C1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C=C23)N4CC5N(C(=O)NC5=O)CC4,CC(C)c1cccc(-c2c[nH]c3ccc(N4CCN5C(=O)NC(=O)C5C4)cc23)c1,-11.7,3.6987000000000023,0.6725019325235189,3.0269270285851633,388.4710000000002,2.0,3.0,3.0,68.44,5.0,29.0,0.31322196,0.1357813,True,0.6302340204282981,docking_results_15.csv,0.050924398,0.0348367,0.26569465,0.118079476,0.16613194,0.055962943,0.046991818,0.31322196,0.0814312,0.06994854,0.26572955,0.16042249,True,3.6987000000000023,3.6987000000000014
247,CCC1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,CCc1cccc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.7,3.2582000000000013,0.7571198107920314,3.0853595757999006,331.4190000000001,2.0,2.0,2.0,48.13,5.0,25.0,0.3631873,0.14006494,True,0.8167627741717769,docking_results_27.csv,0.044897985,0.028927801,0.3631873,0.13656332,0.13017935,0.043933198,0.043171477,0.30445167,0.06986821,0.06893585,0.28195634,0.16470674,True,3.2582000000000013,3.2582000000000013
1,CC=C1C=CCC(=C1)C2=C[NH1]C3=CC=C(C=C23)N4CCNC(=O)C4C#N,CC=C1C=CCC(c2c[nH]c3ccc(N4CCNC(=O)C4C#N)cc23)=C1,-11.7,3.2858800000000015,0.8780241083060023,3.947822406536865,344.4180000000001,2.0,3.0,2.0,71.92,4.0,26.0,0.4873249,0.17468017,True,0.8054993461747475,docking_results_22.csv,0.067347646,0.07769781,0.24849433,0.13192318,0.11468751,0.07600675,0.078301765,0.4873249,0.120227374,0.1409601,0.2590996,0.29409105,True,3.2858800000000015,3.285880000000001
96,CC(=O)C1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,CC(=O)c1cccc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.6,2.8984000000000005,0.7020843808128355,3.1013313296137888,345.40200000000016,2.0,3.0,2.0,65.2,5.0,26.0,0.35992137,0.13798453,True,0.938766432193032,docking_results_25.csv,0.05858913,0.040693,0.35992137,0.108498745,0.13712434,0.04695176,0.047219787,0.30470204,0.08500242,0.064117596,0.22584291,0.17715134,True,2.8984000000000005,2.8984000000000005
73,CC1=C(F)C=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,Cc1cc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)ccc1F,-11.6,3.14332,0.7176580259526935,3.1565966147883096,335.3820000000001,2.0,2.0,1.0,48.13,5.0,25.0,0.40120432,0.15965751,True,0.8603082503533812,docking_results_28.csv,0.044350397,0.031962164,0.40120432,0.16162477,0.12209939,0.046446625,0.050220013,0.35443318,0.08345418,0.08083508,0.32477576,0.21448435,True,3.14332,3.14332
61,C1C=CC(C=C1C2=CC=CC3=CC=CC=C23)[C@@H1]4CNCCCN4C(=O)N,NC(=O)N1CCCNC[C@H]1C1C=CCC(c2cccc3ccccc23)=C1,-11.4,3.541900000000002,0.8165076365943059,3.6140959636099135,347.4620000000002,2.0,2.0,2.0,58.36,4.0,26.0,0.101807736,0.036714975,True,0.6933809887689715,docking_results_28.csv,0.037749123,0.015691133,0.051831473,0.023815949,0.078811586,0.0150498375,0.015884686,0.101807736,0.016074486,0.022101898,0.03120005,0.030561782,True,3.541900000000002,3.541900000000002
231,C[C@@H1]1CC[NH1+1](C(=O)NC2=CC=CC(C)=C2)[C@@H1]1C(=O)NC3=CC=CC4=CC=CC=C34,Cc1cccc(NC(=O)[NH+]2CC[C@@H](C)[C@H]2C(=O)Nc2cccc3ccccc23)c1,-11.4,3.612120000000001,0.6418363830230484,3.863704983656514,388.4910000000001,3.0,2.0,3.0,62.64,4.0,29.0,0.22909224,0.09743655,True,0.6634665457918689,docking_results_13.csv,0.030482212,0.014546989,0.22720243,0.08204335,0.1739332,0.040210634,0.028769253,0.19063333,0.04054477,0.05085008,0.22909224,0.060930025,True,3.612120000000001,3.612120000000001
188,N#CC1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C=C23)N4CCN(C(N)=O)CC4,N#Cc1cccc(-c2c[nH]c3ccc(N4CCN(C(N)=O)CC4)cc23)c1,-11.4,2.90728,0.7482250284425046,2.331253489463661,345.4060000000002,2.0,3.0,2.0,89.15,4.0,26.0,0.34166977,0.14991216,True,0.9331526003045878,docking_results_22.csv,0.07135805,0.05934456,0.33718118,0.09862092,0.17507835,0.06642151,0.05981875,0.34166977,0.13565609,0.07641709,0.17556679,0.20181291,True,2.90728,2.90728
72,CNC(=O)C1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,CNC(=O)c1cccc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.4,2.0553999999999997,0.6546336559691431,3.1130911629348947,360.41700000000014,3.0,3.0,2.0,77.23,5.0,27.0,0.405004,0.13556565,True,0.9228944816795298,docking_results_25.csv,0.050936185,0.034097057,0.405004,0.098878264,0.1280885,0.04134194,0.04135158,0.30069628,0.08478717,0.059215367,0.2116751,0.17071655,True,2.0553999999999997,2.0554
123,CC1=CC=CC(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,Cc1cccc(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.4,3.004220000000001,0.7246798656722614,3.062581149634652,317.39200000000005,2.0,2.0,1.0,48.13,5.0,24.0,0.4085664,0.14966697,True,0.9050403097410225,docking_results_26.csv,0.046023548,0.03036369,0.4085664,0.14223367,0.1377316,0.04599037,0.04629092,0.3190469,0.083606236,0.072197475,0.28496504,0.17898776,True,3.004220000000001,3.004220000000001
209,N#CC1=CC=C(F)C(=C1)C2=C[NH1]C3=CC=C(C4=C23)N5CCNC(=O)C5C4,N#Cc1ccc(F)c(-c2c[nH]c3ccc4c(c23)CC2C(=O)NCCN42)c1,-11.4,2.7065799999999998,0.7115886349868201,3.2952771757676347,346.3650000000002,2.0,3.0,1.0,71.92,5.0,26.0,0.4456364,0.2026244,True,0.974481772267579,docking_results_27.csv,0.06586281,0.060375746,0.4456364,0.19592053,0.14451438,0.07018929,0.073665544,0.44009942,0.13635617,0.10695197,0.36559424,0.32632634,True,2.7065799999999998,2.70658
72,C#CC1=CC(F)=CC(=C1)C2=C[NH1]C3=CC=C(C=C23)NCC4NC(=O)CNC4=O,C#Cc1cc(F)cc(-c2c[nH]c3ccc(NCC4NC(=O)CNC4=O)cc23)c1,-11.4,1.9817999999999993,0.5254789534481505,3.389733692505099,376.3910000000002,4.0,3.0,4.0,86.02000000000001,4.0,28.0,0.4847185,0.23280998,True,0.9006083774838387,docking_results_17.csv,0.086934485,0.09232253,0.46154687,0.17257594,0.22275965,0.1168011,0.09675973,0.4847185,0.20023432,0.13859203,0.375679,0.34479538,True,1.9817999999999993,1.9817999999999996
